Título,Rating,Sinopse,Link
Máquina de Guerra,"6,4",Segue os recrutas finais de um extenuante campo de treinamento de operações especiais que enfrentam uma força letal vinda de fora deste mundo.,https://imdb.com/pt/title/tt15940132/
A Noiva!,"6,0","Na Chicago dos anos 30, Frankenstein pede ajuda ao Dr. Euphronius para criar uma companheira. Eles dão vida a uma mulher assassinada como a Noiva, provocando um romance, o interesse da polícia e uma mudança social radical.",https://imdb.com/pt/title/tt30851137/
"Cara de Um, Focinho de Outro","7,7","Uma amante dos animais aproveita a oportunidade para usar a tecnologia que coloca sua consciência em um castor robótico, descobrindo mistérios no mundo animal que vão além do que ela poderia ter imaginado.",https://imdb.com/pt/title/tt26443616/
Pânico 7,"5,9","Quando um novo Ghostface surge na pacata cidade onde Sidney Prescott reconstruiu sua vida, seus medos mais sombrios se tornam reais enquanto sua filha se torna o próximo alvo do assassino.",https://imdb.com/pt/title/tt27047903/
Hamnet: A Vida Antes de Hamlet,"7,9","Em 1596, Agnes e William Shakespeare perdem seu jovem filho Hamnet. Apesar da dor, Agnes cuida de seus filhos sobreviventes, enquanto William encontra na sua tristeza a inspiração para escrever Hamlet.",https://imdb.com/pt/title/tt14905854/
O Morro dos Ventos Uivantes,"6,3","Uma história de amor apaixonada e tumultuada que tem como pano de fundo os pântanos de Yorkshire, explorando o relacionamento intenso e destrutivo entre Heathcliff e Catherine Earnshaw.",https://imdb.com/pt/title/tt32897959/
Marty Supreme,"7,8","Mostra a jornada de Marty Reisman, um traficante que se tornou campeão de tênis de mesa e se tornou o mais velho a vencer uma competição nacional de raquete, aos 67 anos.",https://imdb.com/pt/title/tt32916440/
O Refúgio,"5,8",Uma mulher caribenha tem seu passado secreto revelado quando sua ilha é invadida por bucaneiros cruéis.,https://imdb.com/pt/title/tt14181714/
Peaky Blinders: O Homem Imortal,"7,8","Durante a Segunda Guerra Mundial, Tommy Shelby retorna à cidade bombardeada de Birmingham e realiza missões secretas enquanto enfrenta ameaças e seu passado.",https://imdb.com/pt/title/tt15574124/
Pecadores,"7,5","Dispostos a deixar suas vidas conturbadas para trás, irmãos gêmeos retornam à cidade natal para recomeçar suas vidas do zero, quando descobrem que um mal ainda maior está à espera deles para recebê-los de volta.",https://imdb.com/pt/title/tt31193180/
Alerta Apocalipse,"6,2",Um fungo armazenado em uma instalação do governo sai e causa estragos no mundo.,https://imdb.com/pt/title/tt8879928/
Uma Batalha Após a Outra,"7,7","Quando seu inimigo maligno ressurge após 16 anos, um grupo de ex-revolucionários se reúne para resgatar a filha de um dos seus.",https://imdb.com/pt/title/tt30144839/
Devoradores de Estrelas,N/A,Um astronauta tenta salvar a Terra enquanto está sozinho no espaço sideral.,https://imdb.com/pt/title/tt12042730/
Nuremberg,"7,4","Em Nuremberg, 1945, um psiquiatra americano avalia 22 nazistas aguardando julgamento por crimes de guerra. Sua proximidade com Hermann Göring e sua busca para entender a natureza do mal o levam a um caminho sem volta.",https://imdb.com/pt/title/tt29567915/
A Empregada,"6,8","Uma jovem em dificuldades fica aliviada com a oportunidade de recomeçar sua vida trabalhando como empregada doméstica de um casal rico. Porém, logo descobre que os segredos da família são muito mais perigosos do que os seus.",https://imdb.com/pt/title/tt27543632/
O Agente Secreto,"7,3","Em 1977, um especialista em tecnologia foge de um passado misterioso e retorna à sua cidade natal, Recife, em busca de paz. Ele logo percebe que a cidade está longe de ser o refúgio que procurava.",https://imdb.com/pt/title/tt27847051/
Bugonia,"7,4","Um jovem captura e interroga um empresário que ele acredita ser um invasor alienígena. O capturador, sua namorada, o empresário e um detetive particular se envolvem em uma tensa batalha psicológica.",https://imdb.com/pt/title/tt12300742/
Missão Refúgio,"6,2","Um detento em uma remota ilha escocesa resgata uma garota do mar, desencadeando uma sequência perigosa de eventos que culminam em um ataque à sua casa, forçando-a a enfrentar sua história conturbada.",https://imdb.com/pt/title/tt32357218/
Caminhos do Crime,"7,1","Um ladrão prestes a realizar seu último grande golpe cruza o caminho de uma corretora de seguros desiludida. Enquanto os dois se envolvem, um detetive implacável os persegue para impedir o assalto milionário que estão planejando.",https://imdb.com/pt/title/tt32430579/
Jurassic World: Recomeço,"5,8","Cinco anos após Jurassic World: Domínio (2022), uma expedição desbrava regiões equatoriais isoladas para extrair DNA de três enormes criaturas pré-históricas para um avanço médico inovador.",https://imdb.com/pt/title/tt31036941/
Em Um Piscar De Olhos,"6,1","Três histórias, que abrangem milhares de anos, se cruzam e refletem sobre esperança, conexão e o ciclo da vida.",https://imdb.com/pt/title/tt6341826/
